table,column,dimension,severity,n_violations,n_total,pct,description,remediation
recommender_exposure,view price distribution + v→p rate,Accuracy (Fairness),Critical,240295,502679,47.8029,Disparate-impact ratio (high/low) on view→purchase = 0.761; threshold 0.80. High-minority-ZIP users are exposed to a higher-priced product mix and convert ~24% less often.,Two-step fix. (a) Strip ZIP / city / lat / lng / region_id from the recommender feature store and re-train. (b) Add a nightly pre-deploy fairness gate that recomputes DI ratio per (model_version × week) and blocks deployment when ratio < 0.85.
ecommerce_events,price,Validity,Critical,251,502500,0.05,Negative prices.,CHECK (price >= 0); route violations to a quarantine topic.
ecommerce_events,event_type,Validity,Critical,0,502500,0.0,event_type outside the allowed enum.,Define event_type as ENUM in target DDL; reject unknowns at the collector.
ecommerce_events,category_code,Completeness,High,150733,502500,29.9966,category_code is NULL on ~30% of events; this is a known REES46 source defect (legacy products lack a tagged category).,Backfill from category_id via a category dimension table; products with truly missing categories should be flagged 'unmapped' rather than NULL so downstream joins still match.
ecommerce_events,(full row),Uniqueness / Idempotency,High,2500,502500,0.4975,Exact duplicate event rows from upstream replay (Kafka redelivery or click-tracker retry).,"Add a synthetic event_id = hash(event_time, user_session, product_id, event_type) and DEDUP on it at ingest. Kafka consumers must use idempotent writes."
ecommerce_events,price,Validity,High,1003,502500,0.1996,Zero-price events; ambiguous (free item vs missing data).,Allow only when product is in a known free-tier list; otherwise quarantine.
ecommerce_events,user_session,Completeness,High,502,502500,0.0999,Empty user_session breaks sessionisation and per-session funnel analysis.,Reject events without user_session at the collector; the client SDK must mint a UUID before any event fires.
ecommerce_events,product_id ↔ category_code,Consistency,High,0,4000,0.0,A product appears under multiple category_codes — taxonomy drift in the event stream.,Source category from a dim_product table; treat the value in events as untrusted.
ecommerce_events,brand,Completeness,Medium,75346,502500,14.9942,Brand is NULL on ~15% of events.,Maintain a product→brand override table; allow NULL only for unbranded items (generic / private-label).
ecommerce_events,event_time,Uniqueness / Idempotency,Medium,2500,502500,0.4975,"Same (user, product, event_type) repeated within 1 second — likely double-fire from the SDK.",Debounce in the client SDK; debounce again at the stream-processor with a 2-sec window.
ecommerce_events,event_time,Timeliness,Medium,0,502500,0.0,Events with timestamps in the future (clock skew).,CHECK (event_time <= NOW() + interval '5 minutes'); reject older skews from the collector.
ecommerce_events,product_id ↔ brand,Consistency,Medium,0,4000,0.0,A product appears with conflicting brand strings.,"Same fix — brand belongs in dim_product, not in every event row."
ecommerce_events,user_id,Consistency,Medium,0,502500,0.0,Events with no matching user_location row (anonymous / first-touch users).,Allow but flag; downstream fairness analytics excludes these rather than imputing.
ecommerce_events,category_code,Validity,Low,0,351767,0.0,category_code does not match the expected dot-delimited hierarchy.,Validate against the canonical category dimension table; route invalid taxonomy labels into a curation queue.
